APOGEE_ID,RA,DEC,evstate,J,H,K,TEFF,LOGG,ALPHA_M,C_FE,C_N,MG_MN,MN_O,CI_FE,N_FE,O_FE,MG_FE,SI_FE,FE_H,GAIA_PHOT_G_MEAN_MAG,GAIA_PHOT_BP_MEAN_MAG,GAIA_PHOT_RP_MEAN_MAG
2M19301845+3904562,292.5769,39.0823,2,8.94,8.434,8.307,4898.3525,2.589681,-0.017628001,-0.0035299957,-0.26823702,-0.1061203,0.09019,-0.0438,0.26470703,-0.032136,-0.048066303,0.0023410022,0.09138845,10.464397,11.018567,9.79517
2M19301970+4232397,292.5821,42.5444,1,9.198,8.673,8.555,4786.7607,2.8032377,-0.0345321,-0.149423,-0.37735,-0.0449273,0.050191,-0.21099299,0.227927,-0.034314,-0.029050298,-0.034912996,0.08925145,10.810354,11.392203,10.1203
2M19302080+4934042,292.5867,49.5678,1,10.557,9.98,9.89,4573.056,2.6015356,0.126969,0.11933701,0.04064901,0.29653072,-0.255854,0.11933701,0.078687996,0.153472,0.1941487,0.122798994,-0.043515548,12.269855,12.882987,11.545635
2M19302086+3852154,292.5869,38.871,2,9.711,9.204,9.062,4865.067,2.4877183,0.0053119995,-0.0072330013,-0.18939298,0.0092071,-0.037781,-0.076175995,0.18215999,0.018834993,-0.009738907,0.015693001,-0.10556155,11.261417,11.818489,10.5855465
2M19302151+4041470,292.5897,40.6964,1,10.886,10.321,10.247,4793.498,2.7882462,0.029165,0.065734014,-0.06614599,0.056126714,-0.10723102,0.079730004,0.13188,0.095035,0.043930694,0.053313002,-0.22012155,12.506046,13.080704,11.808105
2M19302335+4635095,292.5973,46.586,1,7.993,7.469,7.341,4692.714,2.8514397,-0.019549001,-0.070517,-0.507897,-0.10840851,0.11691469,-0.18205,0.43738,-0.0016306937,0.006875485,-0.0014809966,0.26617846,9.65638,10.253192,8.959765
2M19302355+3745440,292.5981,37.7622,2,10.379,9.855,9.725,4825.68,2.4563456,-5.029999E-4,-0.020017996,-0.206057,0.013119511,-0.03837201,-0.04192499,0.186039,0.033626005,0.008373506,-0.008469991,-0.08614155,12.081607,12.695973,11.356067
2M19302545+4105344,292.6061,41.0929,1,10.299,9.785,9.688,4932.0366,2.9525037,0.025787998,-0.041930005,-0.25095,0.060614705,-0.08243501,-0.055248007,0.20902,0.065439,0.043618694,0.026179,-0.23059155,11.820616,12.3477955,11.158405
2M19302638+4424384,292.6099,44.4107,1,11.198,10.655,10.568,4793.3174,3.0082355,0.007364001,0.0069435015,-0.12504151,0.112945706,-0.077397004,0.012064043,0.13198501,0.052786,0.0883347,0.012729004,-0.07270655,12.904209,13.499386,12.187887
2M19302702+4312202,292.6126,43.2056,1,11.347,10.824,10.698,4787.985,2.720075,0.055436,0.094341,-0.06849901,0.1157477,-0.13817099,0.065421,0.16284001,0.12727499,0.1048517,0.025986,-0.21785155,13.036644,13.617941,12.328046
2M19303218+4130299,292.6341,41.5083,1,10.285,9.735,9.614,4684.4863,2.8999135,-0.013068,0.06400201,-0.26328796,-0.10026431,0.14602071,0.017303497,0.32728997,-0.016706705,0.029049695,-8.569956E-4,0.28512844,11.981271,12.575866,11.250287
2M19303374+4414529,292.6406,44.248,1,11.498,10.996,10.862,4972.0767,3.0311227,0.039563,-0.041444004,-0.292624,0.20942771,-0.09686503,-0.022612005,0.25118,0.046319008,0.1588817,0.04232201,-0.34885156,13.080413,13.625807,12.39605
2M19303549+4624247,292.6479,46.4069,1,10.58,10.018,9.908,4627.8696,2.5554998,0.185589,0.14362998,0.06534399,0.3658877,-0.32130098,0.18767999,0.07828599,0.22420499,0.2687917,0.190512,-0.38509154,12.237248,12.819682,11.535802
2M19303856+4317005,292.6607,43.2835,1,10.892,10.416,10.339,4892.3096,3.0132196,0.0073969997,0.35021,-0.026609987,0.12713172,-0.07622501,0.35257,0.37682,0.023119003,0.074025705,-0.0017009974,-0.25064155,12.453545,12.996032,11.788821
2M19303904+4051184,292.6627,40.8551,1,10.69,10.089,9.963,4592.1377,2.63144,-6.790012E-4,0.068039,-0.15351099,-0.04415831,0.07482749,0.053099006,0.22154999,0.002306521,0.032975703,0.008103013,0.17037845,12.519352,13.192561,11.752044
2M19303946+3903509,292.6644,39.0642,1,11.402,10.853,10.728,4715.3354,2.7455804,0.006085001,0.024167001,-0.137467,-0.022939302,0.0690585,-0.038932998,0.161634,-0.0100605,0.036058698,0.019176003,0.027547453,13.035795,13.592086,12.317877
2M19304094+4753132,292.6706,47.887,1,9.668,9.192,9.096,4936.2285,3.2013514,0.019809999,-0.0052241012,-0.23671108,-0.03320699,0.046230696,-0.051418,0.23148699,0.009691,0.022714704,-6.799996E-4,0.06273745,11.187194,11.717765,10.535428
2M19304122+4614122,292.6718,46.2367,1,9.657,9.224,9.136,4954.818,3.0344906,-0.0343834,-0.100518,-0.43474,-0.048927292,0.034684595,-0.157308,0.334222,-0.024746599,-0.038989298,-0.041947,0.022466449,11.073719,11.548734,10.468328
2M19304145+4943156,292.6727,49.721,1,11.3,10.747,10.612,4560.6255,2.7209373,-0.028724901,0.042213023,-0.318707,-0.15256631,0.171265,0.0011219978,0.36092,-0.02206099,-0.003362298,-0.018168718,0.37139845,13.1338215,13.795942,12.365524
2M19304179+4838362,292.6742,48.6434,1,11.188,10.666,10.573,4768.693,2.865984,-7.060021E-4,-0.009576,-0.19526401,-0.035104007,0.043183,-0.09276199,0.185688,-0.0050500017,0.0030289907,5.1099993E-4,0.024579452,12.830284,13.409414,12.132617
2M19304193+4905158,292.6747,49.0877,2,10.081,9.546,9.443,4770.667,2.481564,0.0017599985,0.056267,-0.19241601,-0.058167398,0.0791527,0.0020611957,0.248683,-0.016141701,0.0048436,0.011535995,0.06519245,11.740156,12.3274,11.040823
2M19304206+4405212,292.6753,44.0892,1,10.789,10.233,10.138,4803.6704,2.5818458,0.051487,0.07813901,-0.027431011,0.09116772,-0.086851,0.045501024,0.10557002,0.09735501,0.101671726,0.033932,-0.39991155,12.481113,13.069895,11.770854
2M19304278+3854561,292.6783,38.9156,1,9.479,9.014,8.926,5025.1055,3.1963072,-4.5100227E-4,-0.013757002,-0.303381,5.037077E-4,-0.015601005,-0.054337,0.289624,0.00993,-0.005167298,0.008673001,-0.04753655,10.881243,11.378846,10.2585125
2M19304378+3745086,292.6824,37.7524,2,10.328,9.842,9.737,4985.4775,2.7032347,-0.0347521,-0.024998702,-0.24761301,-0.032260995,-3.592968E-4,-0.07965469,0.2226143,-0.039439704,-0.07206,-0.013464898,-0.01954855,11.878097,12.415607,11.210325
2M19304428+4740343,292.6845,47.6762,1,10.614,10.098,9.969,4758.8633,3.0549457,-0.007879,0.05040899,-0.23410103,-0.09381342,0.13585001,-0.055392027,0.28451002,-0.039176017,0.002860576,0.004222989,0.29652846,12.277617,12.882643,11.564847
2M19304455+3753015,292.6857,37.8838,1,11.62,11.0,10.87,4689.0757,2.7000518,-0.011239,0.007430002,-0.177662,-0.038242288,0.0033379942,-0.16077799,0.185092,0.033819996,-0.0010842979,-0.011886895,0.09596645,13.429057,14.096113,12.654158
2M19304751+4151063,292.698,41.8518,2,10.67,10.188,10.08,4951.9683,2.4960802,0.049368,0.0165537,-0.2089063,0.10205673,-0.05760604,-0.07765901,0.22546,0.055370003,0.09982069,0.06135598,-0.30777153,12.230823,12.762654,11.564979
2M19304781+4837168,292.6992,48.6213,2,10.151,9.692,9.584,4922.0254,2.453616,0.050537996,0.046916008,-0.111304015,0.09759474,-0.030266017,0.023206025,0.15822002,-0.013029993,0.05429873,0.05415702,-0.33491156,11.707654,12.242748,11.047985
2M19304793+3800478,292.6997,38.0133,2,8.999,8.505,8.364,4812.4355,2.5237844,-0.030374601,-0.084421,-0.407511,-0.111416,0.195032,-0.15618,0.32309,-0.084708005,-0.0010920018,-0.0025330037,0.16469845,10.69572,11.3121,9.979055
